Mensajes Agente,Mensajes Cliente,Instruction
"Entonces, te comprometes a pagar 4 cuotas quincenales de $687.500 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 10/06/2024.,"Confirmo, muchas gracias por preguntar.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¡Con gusto! Estamos aquí para brindarte la mejor experiencia.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, soy Pablo de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero necesito opciones que se adapten a mis ingresos.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Tienes un crédito de $1.200.000 y 35 días de mora. Podemos ofrecerte 2 cuotas mensuales de $600.000 cada una o, si prefieres cuotas más bajas, 3 cuotas mensuales de $400.000 cada una. ¿Cuál opción te parece más adecuada?","Me gustaría que el monto por cuota fuera menor, así que 3 cuotas mensuales me conviene más.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, entonces, te comprometes a pagar 3 cuotas mensuales de $400.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 11/06/2024.,"Confirmo, muchas gracias por la consulta.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un gusto ayudarte, estamos aquí para brindarte la mejor solución.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Diana de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, por favor, muéstrame las alternativas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $700.000 y 45 días de mora. Podemos dividirlo en 2 cuotas mensuales de $350.000 cada una o en 3 cuotas quincenales de $233.333 cada una. ¿Qué opción consideras mejor para ti?,"Me gustaría que el valor por cuota fuera lo más bajo posible, así prefiero 3 cuotas quincenales.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas quincenales de $233.333 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 12/06/2024.,"Confirmo, muchas gracias por preguntar.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Estefanía de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero me preocupa el monto de cada cuota, ya que mi presupuesto es limitado.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.900.000 y 60 días de mora. Podemos dividirlo en 4 cuotas quincenales de $725.000 o en 5 cuotas mensuales de $580.000. ¿Cuál opción te parece que se adapta mejor a tus necesidades?,Creo que 5 cuotas mensuales serían más manejables para mí.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 5 cuotas mensuales de $580.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 13/06/2024.,"Confirmo, muchas gracias por la información.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, ¡gracias por confiar en nosotros!",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Muy buenos días, habla Sergio de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo muchas dudas porque me preocupa el monto por cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entiendo, tienes un crédito de $1.350.000 y 70 días de mora. Podemos dividirlo en 4 cuotas mensuales de $337.500 cada una o, para que cada cuota sea menor, en 6 cuotas quincenales de $225.000 cada una. ¿Cuál opción prefieres?","Prefiero aumentar el número de cuotas para que el monto sea menor, así 6 cuotas quincenales.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas quincenales de $225.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 14/06/2024.,"Confirmo, me convence la propuesta.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Muchas gracias, estamos aquí para ayudarte en lo que necesites.","Agradezco la atención, gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Claudia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo muchas dudas sobre el monto que debo pagar, ya que mi situación es complicada.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Entiendo. Tienes un crédito de $1.050.000 y 35 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¿Te parece adecuado si dividimos el monto en 2 cuotas mensuales de $525.000 cada una?,Me preocupa un poco que ese valor pueda ser elevado para mí.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"¿Te parecería mejor si aumentamos a 3 cuotas mensuales, reduciendo cada cuota a $350.000?","Sí, esa opción me resulta mucho más accesible.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $350.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 15/06/2024.,"Confirmo, muchas gracias por la consulta.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Mauricio de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero este mes ando muy corto de dinero.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Comprendo. Tienes un crédito de $1.600.000 y 65 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 5 cuotas mensuales de $320.000 cada una, o en 6 cuotas mensuales de $266.667 cada una. ¿Cuál opción te resulta más cómoda?","Prefiero que cada cuota sea lo más baja posible, así 6 cuotas mensuales me parecen mejores.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $266.667 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 16/06/2024.,"Confirmo, muchas gracias por la opción.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Gracias a ti, quedamos en ese plan.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, soy Julia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu situación?","Sí, pero no estoy seguro de cuántas cuotas puedo asumir.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.500.000 y 75 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales de $833.333 cada una, pero quisiera saber si ese monto te parece adecuado para ti.",Ese monto me resulta muy alto.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"¿Te parecería mejor aumentar a 5 cuotas mensuales, reduciendo cada cuota a $500.000?","Sí, eso suena mucho más razonable.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 5 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 17/06/2024.,"Confirmo, muchas gracias por la atención.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Es un placer ayudarte.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Muy buenas tardes, habla Roberto de Sistecredito. ¿Deseas realizar un compromiso de pago para saldar tu crédito?","Sí, pero no puedo pagar todo de una vez y me preocupa el monto de cada cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.100.000 y 80 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 2 cuotas quincenales de $550.000 cada una o en 3 cuotas mensuales de $366.667 cada una. ¿Cuál opción prefieres para que el monto sea más cómodo?,"Prefiero 3 cuotas mensuales, ya que el monto por cuota es menor.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $366.667 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 18/06/2024.,"Confirmo, muchas gracias por preguntar.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Alicia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo muchas dudas porque el monto por cuota me preocupa.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.900.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $633.333 cada una o aumentar a 4 cuotas mensuales para que cada cuota sea de $475.000. ¿Cuál alternativa consideras más adecuada para ti?,"Prefiero que el monto por cuota sea lo más bajo posible, así 4 cuotas mensuales me parecen mejores.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $475.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 19/06/2024.,"Confirmo mi compromiso, muchas gracias por la consulta.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, quedamos en ese plan.",Gracias por la atención.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Eduardo de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero ando muy corto de dinero este mes y tengo varias dudas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.750.000 y 68 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas quincenales de $583.333 cada una; sin embargo, para que el monto por cuota sea menor, ¿te parecería mejor aumentar a 4 cuotas quincenales?","Me gustaría que cada cuota sea más baja, así 4 cuotas suenan bien.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas quincenales de $437.500 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 20/06/2024.,"Confirmo, esa opción se ajusta a mi presupuesto.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, gracias por tu confianza.","Aprecio mucho la atención, gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, habla Raúl de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero no estoy seguro de cuántas cuotas puedo asumir y ando corto de plata.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.950.000 y 50 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales, pero eso dejaría cada cuota en $983.333, lo cual entiendo que pueda ser elevado para ti.","Exacto, ese monto es inalcanzable.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"¿Qué te parecería aumentar a 5 cuotas mensuales, reduciendo cada cuota a $590.000?",Esa opción me suena mucho más manejable.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 5 cuotas mensuales de $590.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 21/06/2024.,"Confirmo, muchas gracias por preguntar.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, gracias por tu confianza.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Alicia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero necesito conocer bien mis opciones, ya que mi situación es complicada.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.300.000 y 55 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales de $433.333 cada una, o en 2 cuotas quincenales de $650.000 cada una, o en 4 cuotas mensuales de $325.000 cada una.","Quisiera que el valor por cuota sea lo más bajo posible, ¿cuál opción sugieres?",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Para bajar el monto, la opción de 3 cuotas mensuales a $433.333 es la más viable dentro de nuestras condiciones.","Entonces, me conviene esa opción.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, te comprometes a pagar 3 cuotas mensuales de $433.333 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se realizará el 22/06/2024.,"Confirmo, muchas gracias por la explicación.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Verónica de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero necesito una opción que me permita pagar poco a poco, pues mis finanzas están muy ajustadas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.100.000 y 60 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 2 cuotas mensuales de $1.050.000, pero entiendo que ese monto puede ser elevado para ti.","Exacto, ese monto es demasiado para mí.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"¿Te parecería mejor aumentar el número de cuotas? Por ejemplo, en 4 cuotas mensuales, cada cuota sería de $525.000.","Sí, 4 cuotas mensuales suenan mejor para repartir el pago.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $525.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 23/06/2024.,"Confirmo, muchas gracias por la opción.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, quedamos en ese plan.","Aprecio mucho la atención, gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, habla Felipe de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo muchas dudas sobre las opciones disponibles.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.900.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales de $633.333 cada una o, para que el monto por cuota sea menor, en 4 cuotas mensuales de $475.000 cada una.","Me preocupa el monto en 3 cuotas, así que prefiero 4 cuotas mensuales.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $475.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 24/06/2024.,"Confirmo, muchas gracias por las alternativas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Si en algún momento necesitas revisar el plan, estamos aquí para ayudarte.","Lo tendré en cuenta, confirmo mi compromiso.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, quedamos en 4 cuotas mensuales de $475.000 cada una.",Gracias por la atención y por buscar la mejor solución para mí.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, muchas gracias por confiar en nosotros.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, soy Marina de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero mi situación es muy complicada hoy.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.300.000 y 40 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 3 cuotas mensuales de $766.667, aunque entiendo que ese monto pueda generar dudas.","Sí, necesito saber si ese valor me es cómodo.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
¿Te parecería mejor aumentar a 4 cuotas mensuales para que cada cuota sea de $575.000?,"Sí, eso me suena más adecuado.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $575.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 25/06/2024.,"Confirmo, muchas gracias por la aclaración.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Es un placer ayudarte, quedamos en ese compromiso.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Ernesto de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, pero temo no tener suficiente liquidez.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.500.000 y 50 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 2 cuotas mensuales de $750.000 o, si prefieres que el monto por cuota sea menor, en 3 cuotas mensuales de $500.000 cada una. ¿Cuál opción te resulta mejor?","Prefiero 3 cuotas mensuales, eso me ayuda a repartir el pago.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 26/06/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Leticia de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero estoy pasando por serias dificultades económicas.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.700.000 y 70 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Podemos dividirlo en 4 cuotas mensuales de $675.000 cada una o, para disminuir el valor por cuota, en 6 cuotas mensuales de $450.000 cada una. ¿Qué opción prefieres?","Prefiero que cada cuota sea menor, así 6 cuotas mensuales me convienen.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 6 cuotas mensuales de $450.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 27/06/2024.,"Confirmo, muchas gracias por la consulta.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Perfecto, estamos aquí para apoyarte.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Víctor de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?",Sí.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $900.000 y 30 días de mora. Podemos dividirlo en 2 cuotas mensuales de $450.000 cada una.,Esa opción me resulta sencilla.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 2 cuotas mensuales de $450.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 28/06/2024.,"Confirmo, gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Es un gusto atenderte.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buenas tardes, soy Julieta de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero tengo muy pocos recursos disponibles y me preocupa el valor por cuota.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.800.000 y 45 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 2 cuotas mensuales de $900.000 o en 3 cuotas mensuales de $600.000 cada una. ¿Cuál opción prefieres para que el monto por cuota sea menor?,"Prefiero 3 cuotas mensuales, así cada cuota es de $600.000.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 3 cuotas mensuales de $600.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 29/06/2024.,"Confirmo, muchas gracias por la atención.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Estamos aquí para ayudarte, ¡gracias por confiar en nosotros!",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Hola, soy Rodrigo de Sistecredito. ¿Deseas realizar un compromiso de pago para regularizar tu crédito?","Sí, pero me preocupa poder asumir pagos altos.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $2.000.000 y 55 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Podemos dividirlo en 3 cuotas mensuales de $666.667 cada una o en 4 cuotas mensuales de $500.000 cada una. ¿Cuál opción consideras más adecuada para ti?,Prefiero 4 cuotas mensuales para que cada cuota sea menor.,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Entonces, te comprometes a pagar 4 cuotas mensuales de $500.000 cada una.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
La primera cuota se efectuará el 06/07/2024.,"Confirmo, muchas gracias.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Excelente, estamos aquí para ayudarte.",,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
"Buen día, soy Fernanda de Sistecredito. ¿Deseas realizar un compromiso de pago para poner al día tu crédito?","Sí, pero ando muy ajustado de dinero.",Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
Tienes un crédito de $1.400.000 y 35 días de mora.,,Responde al mensaje del cliente con un tono cordial y siguiendo la política de negociación.
